TransactionID,CustomerID,ProductID,ScarcityMessage,CountdownTimer,RecommendedLabel,InfluencerCampaign,FreeShipping,TrendingBadge,Purchased,Quantity,FinalAmount,DecisionTimeMinutes,Decision_Speed,Age,Gender,City,IncomeLevel,Occupation,LoyaltyMember,YearsAsCustomer,BrandFamiliarity,Age_Group,Years_As_Customer_Range,Category,Brand,OriginalPrice,CurrentPrice,Rating,ReviewCount,Discount_Percentage
1,134,102,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,10565.9,22.49,Medium,65,Female,Pune,Middle,Manager,Yes,9,High,Seniors,6-10 Years,Fashion,Nike,11122,10565.9,4.7,4396,5
2,1161,66,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,4,11775.6,8.64,Fast,35,Female,Ahmedabad,High,Freelancer,No,0,Low,Young Adult,New Customer,Fashion,H&M,3271,2943.9,3.7,2623,10
3,982,157,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0,13.07,Medium,26,Female,Chennai,High,Business,No,0,Medium,Young Adult,New Customer,Home,Prestige,33451,33451,4.6,3964,0
4,659,199,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,15.29,Medium,56,Female,Chennai,Low,Business,No,0,Medium,Seniors,New Customer,Beauty,Lakme,23235,18588,3.6,4936,20
5,650,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,23.14,Medium,29,Male,Kolkata,High,Business,Yes,8,Low,Young Adult,6-10 Years,Fashion,H&M,25179,20143.2,5,3352,20
6,1288,231,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,17.2,Medium,48,Female,Ahmedabad,Middle,Designer,No,0,Medium,Mature Adults,New Customer,Beauty,L'Oreal,47956,40762.6,5,2563,15
7,129,192,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,2,31242.6,7.53,Fast,47,Male,Hyderabad,High,Designer,Yes,7,High,Mature Adults,6-10 Years,Beauty,Maybelline,18378,15621.3,3.5,1553,15
8,1047,50,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,12.75,Medium,25,Male,Bengaluru,High,Engineer,No,0,Medium,Gen Z,New Customer,Electronics,Apple,18084,10850.4,4.3,2077,40
9,303,282,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,23006.6,7.06,Fast,18,Female,Ahmedabad,Low,Student,No,0,Low,Gen Z,New Customer,Books,Pearson,28752,23001.6,4.6,1913,20
10,142,14,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,16.88,Medium,59,Female,Delhi,Low,Analyst,No,0,Medium,Seniors,New Customer,Electronics,Samsung,18748,17810.6,3.8,3176,5
11,790,197,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2039.9,9.83,Fast,43,Female,Ahmedabad,Middle,Designer,No,0,High,Mid Career,New Customer,Beauty,Maybelline,2907,2034.9,3.8,5796,30
12,1464,132,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,22.59,Medium,40,Female,Pune,High,Teacher,No,0,High,Mid Career,New Customer,Home,Prestige,38226,30580.8,3,656,20
13,1104,197,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,4079.8,6.05,Fast,56,Female,Ahmedabad,High,Business,No,0,High,Seniors,New Customer,Beauty,Maybelline,2907,2034.9,3.8,5796,30
14,1142,233,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,16.17,Medium,49,Male,Mumbai,Low,Designer,No,0,Low,Mature Adults,New Customer,Beauty,L'Oreal,31783,28604.7,4.3,2102,10
15,1077,207,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,20544.7,8.05,Fast,27,Female,Chennai,High,Analyst,Yes,4,Low,Young Adult,3-5 Years,Beauty,L'Oreal,21626,20544.7,3.7,4799,5
16,1180,196,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,25537.2,14.11,Medium,29,Male,Delhi,High,Freelancer,No,0,Low,Young Adult,New Customer,Beauty,Nivea,42562,25537.2,3.9,3385,40
17,770,253,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,7.76,Fast,57,Male,Bengaluru,Low,Manager,No,0,Low,Seniors,New Customer,Books,Penguin,17606,12324.2,4,1623,30
18,193,211,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,19174.6,9.73,Fast,23,Female,Mumbai,Middle,Teacher,Yes,9,Low,Gen Z,6-10 Years,Beauty,Maybelline,23962,19169.6,5,5659,20
19,1260,245,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,33363,16.24,Medium,58,Male,Chennai,Middle,Doctor,No,0,High,Seniors,New Customer,Books,Oxford,33363,33363,5,4086,0
20,676,121,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1,1,24879.8,10.58,Medium,62,Male,Hyderabad,High,Teacher,Yes,8,Low,Seniors,6-10 Years,Home,Ikea,41458,24874.8,4,2293,40
21,751,61,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,7.72,Fast,31,Male,Bengaluru,High,Manager,No,0,High,Young Adult,New Customer,Fashion,Adidas,19517,17565.3,4.6,863,10
22,557,71,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,20.08,Medium,28,Male,Ahmedabad,Low,Analyst,No,0,Medium,Young Adult,New Customer,Fashion,Adidas,49031,39224.8,4.4,4852,20
23,274,184,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,1,21312,14.93,Medium,63,Male,Ahmedabad,Middle,Manager,Yes,9,Medium,Seniors,6-10 Years,Beauty,Maybelline,21307,21307,4.4,2522,0
24,1391,160,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,2,36936,7.65,Fast,61,Male,Ahmedabad,Low,Designer,Yes,8,Low,Seniors,6-10 Years,Home,Prestige,18468,18468,4.4,2265,0
25,1173,24,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,14.16,Medium,26,Male,Pune,High,Student,No,0,Medium,Young Adult,New Customer,Electronics,Dell,12762,7657.2,4.1,4402,40
26,966,62,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,31115,2.88,Fast,22,Female,Mumbai,High,Business,No,0,Medium,Gen Z,New Customer,Fashion,Zara,22225,15557.5,4.9,20,30
27,604,291,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,18.62,Medium,44,Male,Bengaluru,Middle,Teacher,Yes,7,Low,Mid Career,6-10 Years,Books,Penguin,28905,27459.75,4.4,1752,5
28,1235,218,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,2,5319.3,20.34,Medium,23,Male,Hyderabad,Middle,Doctor,Yes,3,Medium,Gen Z,3-5 Years,Beauty,Nivea,3129,2659.65,4.9,2633,15
29,819,227,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,2,78601.6,6.86,Fast,58,Male,Pune,Middle,Manager,Yes,6,Low,Seniors,6-10 Years,Beauty,L'Oreal,43662,39295.8,3.9,3407,10
30,666,60,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,3,74774.7,9.6,Fast,44,Male,Kolkata,High,Student,Yes,4,Medium,Mid Career,3-5 Years,Electronics,Samsung,35607,24924.9,4.8,3853,30
31,676,20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,12977,19.02,Medium,62,Male,Hyderabad,High,Teacher,Yes,8,Low,Seniors,6-10 Years,Electronics,Sony,12977,12977,3.8,2854,0
32,341,88,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,3,60187.2,10.06,Medium,65,Female,Ahmedabad,Low,Teacher,Yes,3,Medium,Seniors,3-5 Years,Fashion,Zara,22286,20057.4,4.4,3988,10
33,139,258,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,18.48,Medium,58,Female,Mumbai,High,Manager,No,0,Medium,Seniors,New Customer,Books,Oxford,8937,6255.9,4.1,3859,30
34,832,152,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,1,22520.7,1.47,Fast,42,Male,Mumbai,Middle,Freelancer,No,0,Medium,Mid Career,New Customer,Home,Milton,25023,22520.7,4.6,3598,10
35,1332,236,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2,62038.4,12.01,Medium,23,Female,Mumbai,Middle,Business,No,0,Medium,Gen Z,New Customer,Beauty,Lakme,44306,31014.2,4.2,20,30
36,96,147,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,36848.2,16.8,Medium,54,Female,Hyderabad,High,Freelancer,Yes,4,Low,Mature Adults,3-5 Years,Home,Milton,46054,36843.2,4.1,4029,20
37,1288,148,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,22.77,Medium,48,Female,Ahmedabad,Middle,Designer,No,0,Medium,Mature Adults,New Customer,Home,Ikea,37062,25943.4,4.4,1252,30
38,1242,181,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,0,0,30.65,Slow,18,Female,Pune,Low,Engineer,No,0,Low,Gen Z,New Customer,Beauty,L'Oreal,37605,22563,4.5,5258,40
39,416,288,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,4,135132.8,1,Fast,48,Male,Mumbai,Middle,Teacher,No,0,High,Mature Adults,New Customer,Books,Oxford,42229,33783.2,4.6,20,20
40,948,132,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,30580.8,5.99,Fast,38,Male,Ahmedabad,Middle,Student,Yes,8,High,Mid Career,6-10 Years,Home,Prestige,38226,30580.8,3,656,20
41,248,179,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,13835.75,7.16,Fast,20,Female,Chennai,Middle,Designer,No,0,Low,Gen Z,New Customer,Home,Prestige,18441,13830.75,4.3,1980,25
42,1138,276,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,3,2981.4,17.22,Medium,19,Female,Bengaluru,Middle,Freelancer,Yes,2,High,Gen Z,1-2 Years,Books,Pearson,1648,988.8,4.3,2219,40
43,1051,112,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,33.25,Slow,35,Male,Hyderabad,Low,Student,No,0,Medium,Young Adult,New Customer,Fashion,Zara,34538,27630.4,4.6,20,20
44,532,252,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,6.81,Fast,46,Male,Delhi,Low,Analyst,No,0,High,Mature Adults,New Customer,Books,Oxford,25850,15510,3.7,3513,40
45,102,161,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1,2,57077.2,3.42,Fast,28,Female,Ahmedabad,Middle,Engineer,No,0,High,Young Adult,New Customer,Home,Ikea,47556,28533.6,4.3,3571,40
46,1457,264,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,19.16,Medium,41,Female,Chennai,Middle,Freelancer,Yes,4,Medium,Mid Career,3-5 Years,Books,Oxford,7818,7036.2,3.6,2586,10
47,669,141,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,26051.3,9.8,Fast,36,Male,Kolkata,Middle,Doctor,Yes,6,Low,Mid Career,6-10 Years,Home,Philips,37209,26046.3,4.3,3691,30
48,1340,189,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,37414.6,19.54,Medium,32,Female,Pune,Low,Freelancer,No,0,Medium,Young Adult,New Customer,Beauty,Lakme,46762,37409.6,4.6,2830,20
49,1017,97,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,29994.2,18.01,Medium,20,Female,Kolkata,Middle,Business,No,0,Medium,Gen Z,New Customer,Fashion,Adidas,49982,29989.2,4.4,257,40
50,1168,191,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1,1,23485.5,16.91,Medium,45,Female,Hyderabad,High,Doctor,Yes,6,High,Mid Career,6-10 Years,Beauty,Nivea,27630,23485.5,4,1421,15
51,1140,98,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,17861.05,7.59,Fast,39,Male,Delhi,Low,Student,No,0,Low,Mid Career,New Customer,Fashion,H&M,21013,17861.05,4.4,3193,15
52,292,183,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,3,137686.35,18.46,Medium,64,Male,Mumbai,High,Teacher,Yes,7,Medium,Seniors,6-10 Years,Beauty,Maybelline,48311,45895.45,4.6,1777,5
53,546,237,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,2,79541.1,5.65,Fast,22,Female,Chennai,Low,Analyst,Yes,2,Low,Gen Z,1-2 Years,Beauty,Lakme,46783,39765.55,3.7,4960,15
54,701,131,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,6162.1,7.01,Fast,23,Male,Kolkata,Middle,Designer,Yes,10,High,Gen Z,6-10 Years,Home,Ikea,8803,6162.1,3.9,2392,30
55,747,129,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,16.53,Medium,22,Female,Chennai,Low,Freelancer,No,0,Medium,Gen Z,New Customer,Home,Ikea,48384,41126.4,4.8,1226,15
56,66,97,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,29989.2,4.23,Fast,45,Female,Ahmedabad,High,Doctor,No,0,High,Mid Career,New Customer,Fashion,Adidas,49982,29989.2,4.4,257,40
