CustomerID,Age,Gender,City,IncomeLevel,Occupation,LoyaltyMember,YearsAsCustomer,BrandFamiliarity
1,58,Male,Mumbai,Low,Freelancer,No,0,Low
2,23,Male,Hyderabad,Middle,Freelancer,Yes,2,Low
3,44,Male,Bengaluru,Low,Designer,No,0,High
4,39,Female,Mumbai,Low,Analyst,Yes,6,Low
5,40,Male,Kolkata,Middle,Engineer,No,0,Medium
6,53,Female,Hyderabad,Low,Engineer,No,0,High
7,20,Male,Mumbai,Middle,Designer,No,0,High
8,35,Female,Hyderabad,Middle,Doctor,No,0,Low
9,62,Male,Hyderabad,High,Manager,No,0,Medium
10,47,Male,Chennai,Middle,Student,No,0,Medium
11,32,Male,Hyderabad,High,Analyst,No,0,Medium
12,31,Male,Hyderabad,Middle,Freelancer,Yes,8,Low
13,52,Female,Chennai,Low,Teacher,No,0,High
14,26,Male,Bengaluru,Middle,Designer,Yes,1,High
15,56,Male,Mumbai,Low,Freelancer,Yes,8,Medium
16,35,Female,Delhi,Middle,Doctor,Yes,5,Medium
17,50,Female,Hyderabad,Middle,Manager,No,0,Low
18,41,Male,Chennai,Middle,Business,No,0,High
19,19,Male,Mumbai,Low,Engineer,Yes,5,Low
20,64,Male,Ahmedabad,Middle,Freelancer,Yes,9,High
21,28,Male,Hyderabad,Low,Doctor,No,0,Medium
22,43,Female,Mumbai,High,Teacher,No,0,Medium
23,32,Male,Delhi,Low,Engineer,Yes,9,Low
24,63,Male,Hyderabad,Middle,Doctor,Yes,1,High
25,60,Female,Hyderabad,Middle,Business,No,0,Medium
26,44,Female,Ahmedabad,Low,Student,Yes,7,Medium
27,61,Female,Mumbai,Middle,Teacher,No,0,Low
28,30,Female,Hyderabad,Low,Engineer,Yes,7,Low
29,46,Male,Mumbai,High,Teacher,No,0,Low
30,28,Male,Bengaluru,Middle,Designer,No,0,High
31,18,Female,Bengaluru,High,Teacher,Yes,8,Low
32,36,Female,Delhi,Low,Student,Yes,9,Low
33,55,Male,Mumbai,Middle,Manager,No,0,Medium
34,22,Male,Hyderabad,Middle,Student,No,0,Low
35,57,Female,Pune,Low,Teacher,No,0,Medium
36,60,Female,Ahmedabad,Middle,Analyst,Yes,7,Low
37,22,Male,Mumbai,Low,Freelancer,No,0,Medium
38,31,Male,Chennai,Middle,Doctor,Yes,6,High
39,28,Male,Pune,Middle,Engineer,No,0,Medium
40,26,Male,Pune,Low,Doctor,No,0,Medium
41,56,Female,Delhi,Low,Engineer,Yes,5,Medium
42,58,Male,Pune,Middle,Manager,Yes,1,Medium
43,65,Male,Mumbai,Middle,Manager,No,0,Medium
44,52,Male,Delhi,Low,Doctor,Yes,9,Low
45,41,Female,Hyderabad,High,Teacher,No,0,High
46,60,Female,Bengaluru,Low,Teacher,No,0,High
47,28,Male,Bengaluru,High,Analyst,No,0,High
48,44,Female,Bengaluru,High,Engineer,No,0,High
49,42,Female,Chennai,High,Doctor,No,0,Low
50,32,Female,Mumbai,Low,Doctor,No,0,Medium
51,40,Male,Mumbai,Middle,Doctor,Yes,9,Medium
52,29,Female,Chennai,Middle,Analyst,No,0,Low
53,45,Male,Pune,Middle,Student,No,0,Medium
54,63,Male,Chennai,Middle,Designer,No,0,High
55,22,Male,Pune,High,Freelancer,No,0,Medium
56,37,Male,Kolkata,Middle,Designer,Yes,5,Medium
57,61,Male,Pune,Middle,Doctor,Yes,10,Medium
58,31,Female,Ahmedabad,Middle,Business,No,0,Medium
59,61,Male,Mumbai,Low,Doctor,No,0,High
60,50,Male,Pune,Middle,Teacher,No,0,Low
61,30,Male,Ahmedabad,Low,Designer,Yes,8,Medium
62,58,Female,Hyderabad,Middle,Manager,No,0,Medium
63,59,Male,Kolkata,Middle,Teacher,No,0,High
64,29,Male,Mumbai,High,Business,No,0,Medium
65,26,Female,Ahmedabad,High,Freelancer,No,0,High
66,45,Female,Ahmedabad,High,Doctor,No,0,High
67,33,Male,Pune,High,Business,Yes,9,Medium
68,22,Male,Bengaluru,Middle,Manager,Yes,6,Medium
69,32,Female,Chennai,Middle,Freelancer,Yes,4,Low
70,47,Male,Kolkata,Middle,Business,Yes,7,Medium
71,18,Female,Hyderabad,High,Business,Yes,7,High
72,32,Female,Bengaluru,Low,Business,No,0,Medium
73,26,Male,Mumbai,High,Designer,No,0,High
74,26,Male,Ahmedabad,High,Analyst,Yes,5,Medium
75,39,Male,Ahmedabad,Middle,Student,Yes,7,Low
76,65,Male,Delhi,Middle,Student,No,0,Medium
77,33,Female,Mumbai,Low,Teacher,Yes,3,Low
78,47,Male,Bengaluru,Middle,Doctor,No,0,Low
79,24,Female,Kolkata,Middle,Teacher,No,0,Medium
80,22,Female,Mumbai,Middle,Student,No,0,Low
81,40,Female,Delhi,Middle,Designer,No,0,Low
82,49,Female,Bengaluru,Low,Designer,No,0,Medium
83,29,Female,Ahmedabad,Middle,Designer,No,0,Low
84,64,Male,Pune,Middle,Business,Yes,4,High
85,33,Female,Delhi,Middle,Business,No,0,Medium
86,38,Female,Delhi,Low,Freelancer,Yes,5,Medium
87,30,Male,Ahmedabad,Low,Business,No,0,Medium
88,46,Male,Pune,Middle,Analyst,Yes,4,Medium
89,48,Female,Pune,Middle,Doctor,Yes,9,Medium
90,34,Male,Hyderabad,Low,Teacher,No,0,Medium
91,65,Female,Mumbai,Middle,Teacher,No,0,High
92,36,Male,Pune,Low,Student,Yes,1,Medium
93,21,Female,Mumbai,Middle,Student,No,0,Low
94,54,Male,Pune,Low,Business,No,0,Medium
95,25,Male,Bengaluru,High,Manager,Yes,2,Medium
96,54,Female,Hyderabad,High,Freelancer,Yes,4,Low
97,42,Female,Delhi,Middle,Engineer,Yes,10,High
98,31,Male,Mumbai,Middle,Manager,Yes,2,Low
99,18,Male,Hyderabad,Middle,Doctor,No,0,Medium
100,63,Male,Pune,Low,Teacher,No,0,Low
101,45,Male,Mumbai,Low,Student,Yes,3,High
102,28,Female,Ahmedabad,Middle,Engineer,No,0,High
103,47,Female,Ahmedabad,Middle,Engineer,No,0,High
104,56,Male,Mumbai,Low,Teacher,Yes,6,Medium
105,61,Female,Delhi,High,Manager,No,0,High
106,48,Female,Ahmedabad,Middle,Engineer,Yes,5,Low
107,48,Female,Kolkata,Low,Business,Yes,2,High
108,36,Male,Chennai,Middle,Doctor,Yes,9,Low
109,38,Male,Ahmedabad,Low,Designer,No,0,High
110,21,Male,Hyderabad,Low,Doctor,Yes,8,Medium
111,53,Male,Bengaluru,Low,Doctor,Yes,8,Low
112,53,Male,Ahmedabad,Low,Engineer,Yes,4,High
113,59,Female,Kolkata,High,Business,No,0,Medium
114,48,Male,Mumbai,Low,Doctor,No,0,Medium
115,44,Male,Pune,Low,Doctor,No,0,Low
116,55,Female,Ahmedabad,Middle,Analyst,No,0,High
117,39,Female,Hyderabad,Middle,Teacher,No,0,Medium
118,54,Female,Ahmedabad,Middle,Designer,No,0,Medium
119,42,Male,Ahmedabad,High,Student,No,0,Medium
120,26,Female,Mumbai,Middle,Freelancer,No,0,High
121,47,Female,Chennai,Low,Designer,Yes,3,Low
122,59,Female,Ahmedabad,Low,Freelancer,Yes,9,Medium
123,20,Male,Kolkata,Middle,Engineer,Yes,5,High
124,58,Male,Delhi,Middle,Analyst,Yes,3,Medium
125,21,Female,Bengaluru,Low,Manager,Yes,3,Low
126,29,Male,Ahmedabad,Low,Manager,No,0,Medium
127,32,Female,Pune,Middle,Freelancer,Yes,5,Medium
128,28,Female,Kolkata,Low,Doctor,No,0,High
129,47,Male,Hyderabad,High,Designer,Yes,7,High
130,54,Female,Pune,Middle,Student,Yes,5,Low
131,54,Female,Pune,High,Teacher,No,0,High
132,56,Male,Mumbai,High,Student,Yes,4,Medium
133,37,Male,Pune,Middle,Analyst,Yes,6,Medium
134,65,Female,Pune,Middle,Manager,Yes,9,High
135,34,Female,Chennai,High,Engineer,No,0,High
136,47,Female,Chennai,High,Engineer,Yes,4,High
137,43,Female,Kolkata,Low,Analyst,No,0,Medium
138,24,Female,Hyderabad,Middle,Engineer,No,0,Medium
139,58,Female,Mumbai,High,Manager,No,0,Medium
140,20,Male,Bengaluru,High,Designer,Yes,8,Low
141,47,Female,Bengaluru,Middle,Designer,No,0,Medium
142,59,Female,Delhi,Low,Analyst,No,0,Medium
143,31,Male,Chennai,Middle,Freelancer,No,0,High
144,59,Female,Mumbai,Middle,Teacher,Yes,4,High
145,59,Female,Hyderabad,Middle,Manager,No,0,Low
146,54,Male,Hyderabad,Low,Analyst,No,0,Medium
147,27,Male,Bengaluru,Middle,Freelancer,No,0,Low
148,34,Female,Hyderabad,Middle,Analyst,Yes,1,Low
149,19,Male,Ahmedabad,Low,Business,Yes,7,Medium
150,41,Male,Pune,Middle,Business,Yes,9,Low
151,59,Female,Mumbai,High,Business,Yes,8,High
152,63,Male,Mumbai,High,Manager,Yes,2,Medium
153,35,Female,Pune,Middle,Business,No,0,Medium
154,50,Male,Kolkata,Middle,Business,Yes,2,High
155,32,Male,Chennai,Middle,Designer,No,0,Medium
156,38,Female,Mumbai,Middle,Engineer,Yes,3,Medium
157,23,Male,Chennai,Low,Engineer,Yes,6,High
158,44,Male,Pune,Middle,Doctor,No,0,High
159,40,Female,Hyderabad,Low,Engineer,No,0,Low
160,40,Female,Delhi,High,Doctor,Yes,5,Medium
161,19,Female,Chennai,Low,Student,No,0,Medium
162,29,Male,Delhi,High,Engineer,No,0,Medium
163,65,Female,Pune,Middle,Analyst,Yes,8,Medium
164,54,Male,Mumbai,Middle,Doctor,No,0,Low
165,46,Female,Hyderabad,Middle,Freelancer,No,0,Medium
166,25,Female,Delhi,Low,Teacher,Yes,10,Medium
167,43,Male,Bengaluru,High,Doctor,Yes,4,Medium
168,36,Female,Hyderabad,Low,Freelancer,Yes,7,Low
169,53,Male,Kolkata,High,Student,No,0,Low
170,47,Female,Kolkata,High,Doctor,No,0,Medium
171,25,Female,Chennai,Middle,Engineer,No,0,Low
172,45,Male,Kolkata,High,Doctor,Yes,10,Medium
173,65,Male,Hyderabad,Low,Analyst,Yes,3,Low
174,40,Male,Mumbai,Middle,Manager,No,0,High
175,34,Male,Bengaluru,Low,Business,No,0,High
176,47,Female,Chennai,Middle,Manager,No,0,Medium
177,46,Male,Chennai,Low,Freelancer,Yes,5,High
178,22,Female,Mumbai,Low,Engineer,No,0,Low
179,57,Male,Ahmedabad,Middle,Teacher,Yes,10,Medium
180,38,Female,Mumbai,Middle,Analyst,No,0,High
181,63,Female,Ahmedabad,Low,Freelancer,No,0,Low
182,51,Female,Delhi,Middle,Analyst,Yes,5,Medium
183,22,Female,Bengaluru,Low,Analyst,No,0,Medium
184,23,Female,Bengaluru,Middle,Engineer,Yes,6,Medium
185,37,Male,Mumbai,Middle,Designer,No,0,Medium
186,50,Female,Ahmedabad,Middle,Teacher,Yes,3,High
187,32,Male,Delhi,High,Analyst,Yes,5,High
188,57,Male,Ahmedabad,Low,Student,Yes,3,Low
189,44,Female,Ahmedabad,Middle,Teacher,No,0,High
190,52,Male,Chennai,Low,Business,No,0,High
191,47,Female,Bengaluru,Middle,Teacher,No,0,Medium
192,56,Male,Mumbai,Low,Doctor,Yes,8,High
193,23,Female,Mumbai,Middle,Teacher,Yes,9,Low
194,46,Female,Chennai,High,Teacher,No,0,Medium
195,42,Male,Chennai,High,Manager,Yes,1,Medium
196,26,Male,Ahmedabad,Low,Business,No,0,Medium
197,57,Male,Kolkata,Low,Engineer,Yes,5,Low
198,36,Female,Mumbai,Low,Engineer,Yes,4,Medium
199,49,Male,Pune,Middle,Designer,Yes,9,Medium
200,18,Male,Chennai,Middle,Engineer,Yes,7,Low
201,51,Male,Kolkata,Middle,Business,No,0,Medium
202,20,Male,Chennai,Middle,Engineer,No,0,Low
203,40,Female,Bengaluru,Low,Student,No,0,Low
204,40,Female,Ahmedabad,Middle,Manager,No,0,Low
205,26,Female,Hyderabad,Low,Student,No,0,Medium
206,30,Female,Pune,High,Student,Yes,5,Medium
207,59,Female,Pune,Low,Engineer,Yes,1,High
208,41,Female,Chennai,Middle,Manager,Yes,8,High
209,49,Male,Kolkata,Middle,Engineer,Yes,9,Low
210,45,Female,Mumbai,Middle,Engineer,No,0,Medium
211,38,Male,Ahmedabad,Middle,Analyst,Yes,10,Medium
212,46,Female,Pune,Low,Student,No,0,Medium
213,22,Male,Delhi,Middle,Manager,Yes,9,High
214,56,Female,Chennai,Middle,Designer,Yes,3,Low
215,54,Female,Ahmedabad,Low,Engineer,Yes,8,High
216,54,Male,Mumbai,Low,Student,Yes,6,Medium
217,65,Male,Pune,Low,Doctor,No,0,High
218,63,Female,Hyderabad,Middle,Engineer,No,0,Low
219,26,Female,Mumbai,High,Analyst,No,0,High
220,60,Female,Bengaluru,Low,Manager,Yes,9,Low
221,41,Male,Ahmedabad,Middle,Student,Yes,4,High
222,41,Male,Mumbai,Middle,Doctor,Yes,9,Low
223,43,Female,Mumbai,High,Manager,No,0,Medium
224,38,Male,Bengaluru,Middle,Designer,Yes,9,Medium
225,50,Female,Bengaluru,High,Manager,Yes,2,Medium
226,38,Male,Pune,High,Teacher,Yes,9,High
227,58,Male,Bengaluru,High,Manager,Yes,5,Medium
228,28,Male,Delhi,Middle,Engineer,No,0,Medium
229,20,Male,Kolkata,High,Student,No,0,Low
230,49,Female,Ahmedabad,High,Teacher,No,0,Medium
231,61,Male,Ahmedabad,Middle,Designer,No,0,Medium
232,48,Female,Chennai,Middle,Designer,Yes,3,Medium
233,26,Male,Ahmedabad,Middle,Engineer,No,0,Low
234,35,Female,Kolkata,Middle,Teacher,Yes,1,Low
235,28,Male,Bengaluru,High,Business,No,0,Medium
236,50,Male,Kolkata,Middle,Freelancer,No,0,Medium
237,47,Female,Ahmedabad,High,Business,Yes,6,Low
238,36,Female,Chennai,Middle,Designer,No,0,Medium
239,41,Female,Mumbai,Low,Designer,Yes,9,Low
240,50,Male,Bengaluru,Middle,Engineer,No,0,High
241,43,Female,Bengaluru,Middle,Teacher,No,0,Medium
242,56,Male,Chennai,Middle,Business,No,0,Low
243,51,Female,Chennai,Middle,Manager,No,0,Medium
244,43,Female,Ahmedabad,High,Doctor,No,0,Low
245,48,Female,Delhi,High,Business,Yes,2,High
246,34,Male,Delhi,High,Business,No,0,High
247,28,Female,Bengaluru,Middle,Teacher,No,0,High
248,20,Female,Chennai,Middle,Designer,No,0,Low
249,27,Female,Delhi,Middle,Manager,Yes,9,High
250,51,Female,Bengaluru,Low,Business,Yes,8,Medium
251,52,Male,Hyderabad,Low,Doctor,Yes,5,Medium
252,53,Female,Hyderabad,Low,Business,No,0,High
253,38,Female,Pune,Middle,Engineer,No,0,High
254,54,Male,Pune,Middle,Student,Yes,7,High
255,36,Female,Hyderabad,High,Teacher,Yes,8,Medium
256,52,Male,Hyderabad,Low,Teacher,No,0,Low
257,21,Male,Mumbai,Middle,Designer,No,0,Medium
258,39,Male,Kolkata,Middle,Business,Yes,3,Low
259,48,Female,Delhi,Middle,Engineer,No,0,Low
260,59,Male,Bengaluru,Middle,Designer,No,0,Medium
261,29,Male,Pune,High,Student,Yes,7,High
262,18,Female,Pune,Low,Business,No,0,High
263,59,Female,Pune,Middle,Teacher,No,0,High
264,25,Male,Delhi,Low,Analyst,No,0,Medium
265,36,Female,Kolkata,Middle,Freelancer,No,0,Low
266,38,Male,Ahmedabad,Low,Analyst,No,0,Low
267,33,Female,Pune,Low,Student,Yes,8,High
268,34,Male,Ahmedabad,Middle,Doctor,No,0,Low
269,28,Female,Mumbai,Middle,Doctor,No,0,High
270,41,Female,Chennai,Middle,Designer,Yes,3,Medium
271,62,Male,Hyderabad,Middle,Engineer,No,0,Medium
272,51,Male,Delhi,Middle,Freelancer,No,0,Low
273,50,Female,Mumbai,Low,Teacher,No,0,Low
274,63,Male,Ahmedabad,Middle,Manager,Yes,9,Medium
275,50,Female,Delhi,Middle,Designer,No,0,Medium
276,34,Male,Kolkata,High,Analyst,No,0,Medium
277,62,Male,Ahmedabad,Low,Student,No,0,High
278,36,Female,Chennai,Middle,Designer,No,0,High
279,46,Male,Chennai,High,Engineer,No,0,Medium
280,29,Male,Delhi,High,Student,Yes,3,Medium
281,37,Female,Hyderabad,Middle,Teacher,No,0,Medium
282,47,Female,Delhi,Low,Teacher,Yes,2,Low
283,31,Male,Hyderabad,Low,Student,No,0,Medium
284,43,Male,Bengaluru,Middle,Freelancer,No,0,High
285,36,Female,Hyderabad,Low,Doctor,No,0,Medium
286,27,Female,Delhi,High,Freelancer,No,0,Medium
287,55,Female,Ahmedabad,High,Student,No,0,Medium
288,40,Female,Kolkata,High,Designer,No,0,High
289,27,Male,Pune,Low,Manager,Yes,9,Medium
290,47,Male,Kolkata,High,Teacher,No,0,High
291,34,Female,Mumbai,Low,Freelancer,No,0,High
292,64,Male,Mumbai,High,Teacher,Yes,7,Medium
293,55,Female,Pune,Middle,Student,No,0,Medium
294,31,Female,Hyderabad,High,Teacher,No,0,Low
295,43,Female,Ahmedabad,High,Freelancer,No,0,High
296,59,Female,Mumbai,Middle,Business,Yes,9,High
297,38,Male,Bengaluru,High,Student,Yes,7,Low
