ProductID,Category,Brand,OriginalPrice,CurrentPrice,Rating,ReviewCount
1,Electronics,Sony,18446,11067.6,4.5,2251
2,Electronics,Dell,15156,13640.4,4.6,5241
3,Electronics,Sony,17501,16625.95,4.2,2078
4,Electronics,Samsung,44175,35340.0,4.9,3881
5,Electronics,Samsung,6789,5770.65,4.1,3476
6,Electronics,Samsung,2292,2292.0,4.1,1661
7,Electronics,Samsung,936,561.6,4.4,20
8,Electronics,Apple,24718,21010.3,3.6,1487
9,Electronics,Sony,37931,26551.7,3.9,3065
10,Electronics,Dell,34637,31173.3,3.9,20
11,Electronics,Dell,19829,18837.55,4.9,2093
12,Electronics,Apple,29624,20736.8,4.3,20
13,Electronics,Dell,17739,16852.05,4.1,2699
14,Electronics,Samsung,18748,17810.6,3.8,3176
15,Electronics,Sony,5681,4828.85,4.1,1974
16,Electronics,Apple,21937,19743.3,4.1,5834
17,Electronics,Sony,18595,11157.0,4.3,596
18,Electronics,Apple,46821,35115.75,4.6,302
19,Electronics,Apple,28901,27455.95,4.4,20
20,Electronics,Sony,12977,12977.0,3.8,2854
21,Electronics,Apple,16616,14954.4,4.6,2808
22,Electronics,Dell,14931,12691.35,4.3,1958
23,Electronics,Sony,31309,28178.1,3.7,1204
24,Electronics,Dell,12762,7657.2,4.1,4402
25,Electronics,Sony,9137,7766.45,4.4,20
26,Electronics,Apple,34336,29185.6,4.4,1806
27,Electronics,Apple,28963,27514.85,4.0,3601
28,Electronics,Dell,37051,31493.35,4.7,4176
29,Electronics,Samsung,3043,2130.1,4.0,1943
30,Electronics,Sony,40698,28488.6,4.4,4255
31,Electronics,Samsung,42293,31719.75,4.1,2165
32,Electronics,Dell,35264,31737.6,3.9,346
33,Electronics,Sony,15697,12557.6,4.6,4941
34,Electronics,Dell,32627,22838.9,4.3,4306
35,Electronics,Sony,36113,21667.8,4.4,1338
36,Electronics,Sony,6826,5802.1,4.4,5268
37,Electronics,Apple,49977,39981.6,4.3,5316
38,Electronics,Dell,29805,22353.75,3.3,3979
39,Electronics,Samsung,43912,30738.4,4.3,1961
40,Electronics,Apple,12047,7228.2,4.3,20
41,Electronics,Sony,43793,41603.35,4.2,3142
42,Electronics,Sony,46176,32323.2,4.9,1567
43,Electronics,Samsung,32202,19321.2,4.0,1596
44,Electronics,Dell,45537,38706.45,4.7,3091
45,Electronics,Apple,19566,15652.8,4.1,3423
46,Electronics,Samsung,27304,27304.0,4.3,4243
47,Electronics,Sony,17644,13233.0,4.0,1910
48,Electronics,Dell,26149,15689.4,4.1,20
49,Electronics,Dell,26627,21301.6,4.4,2969
50,Electronics,Apple,18084,10850.4,4.3,2077
51,Electronics,Samsung,22771,22771.0,3.7,1742
52,Electronics,Sony,29836,20885.2,4.2,1055
53,Electronics,Samsung,38019,34217.1,4.2,3227
54,Electronics,Samsung,41478,39404.1,5.0,2814
55,Electronics,Sony,8968,8968.0,4.4,2365
56,Electronics,Apple,25350,24082.5,3.5,2452
57,Electronics,Sony,23614,22433.3,4.3,6933
58,Electronics,Apple,34490,29316.5,4.2,3042
59,Electronics,Sony,35592,30253.2,4.3,396
60,Electronics,Samsung,35607,24924.9,4.8,3853
61,Fashion,Adidas,19517,17565.3,4.6,863
62,Fashion,Zara,22225,15557.5,4.9,20
63,Fashion,Adidas,36738,31227.3,4.5,6442
64,Fashion,Nike,2864,2864.0,3.9,1480
65,Fashion,Nike,33366,23356.2,4.3,1593
66,Fashion,H&M,3271,2943.9,3.7,2623
67,Fashion,Zara,20256,20256.0,3.9,3352
68,Fashion,Adidas,41889,35605.65,3.9,5289
69,Fashion,Nike,18355,17437.25,4.0,1920
70,Fashion,H&M,43444,30410.8,4.6,284
71,Fashion,Adidas,49031,39224.8,4.4,4852
72,Fashion,Nike,5515,5239.25,3.7,2832
73,Fashion,H&M,1820,1820.0,4.4,3907
74,Fashion,Adidas,6762,4733.4,3.8,123
75,Fashion,Adidas,40194,32155.2,4.5,3034
76,Fashion,Zara,28362,28362.0,4.4,3123
77,Fashion,Zara,18460,11076.0,4.0,2918
78,Fashion,Adidas,7032,5625.6,4.4,1214
79,Fashion,H&M,25179,20143.2,5.0,3352
80,Fashion,H&M,6598,5608.3,3.8,3681
81,Fashion,H&M,37265,29812.0,3.9,3916
82,Fashion,H&M,19139,16268.15,4.8,1022
83,Fashion,H&M,1628,976.8,4.7,3243
84,Fashion,H&M,24927,23680.65,4.6,5914
85,Fashion,H&M,15184,15184.0,4.2,1143
86,Fashion,H&M,15711,9426.6,3.9,1031
87,Fashion,Zara,31747,30159.65,4.3,3114
88,Fashion,Zara,22286,20057.4,4.4,3988
89,Fashion,Nike,6751,6075.9,4.3,5116
90,Fashion,Adidas,32600,27710.0,4.2,7396
91,Fashion,Nike,9762,6833.4,4.6,957
92,Fashion,H&M,34801,29580.85,3.9,3368
93,Fashion,Nike,32836,26268.8,4.2,3785
94,Fashion,H&M,20911,15683.25,4.5,2368
95,Fashion,Adidas,2892,2169.0,4.0,20
96,Fashion,H&M,865,692.0,4.1,4041
97,Fashion,Adidas,49982,29989.2,4.4,257
98,Fashion,H&M,21013,17861.05,4.4,3193
99,Fashion,Zara,30736,18441.6,3.9,2776
100,Fashion,Nike,7384,5168.8,4.3,442
101,Fashion,Nike,25120,22608.0,4.4,3509
102,Fashion,Nike,11122,10565.9,4.7,4396
103,Fashion,Adidas,13434,8060.4,3.7,811
104,Fashion,Nike,3059,2141.3,4.5,3424
105,Fashion,H&M,11688,7012.8,4.5,9434
