TransactionID,CustomerID,ProductID,ScarcityMessage,CountdownTimer,RecommendedLabel,InfluencerCampaign,FreeShipping,TrendingBadge,Purchased,Quantity,FinalAmount,DecisionTimeMinutes
1,134,102,False,False,True,True,True,True,1,1,10565.9,22.49
2,1161,66,True,False,False,True,True,False,1,4,11775.6,8.64
3,982,157,False,True,False,True,True,True,0,0,0.0,13.07
4,659,199,True,False,True,False,False,False,0,0,0.0,15.29
5,650,79,True,False,False,False,False,False,0,0,0.0,23.14
6,1288,231,False,False,False,True,True,False,0,0,0.0,17.2
7,129,192,False,True,True,False,True,False,1,2,31242.6,7.53
8,1047,50,False,False,False,False,False,True,0,0,0.0,12.75
9,303,282,True,False,True,True,False,False,1,1,23006.6,7.06
10,142,14,True,False,False,True,False,False,0,0,0.0,16.88
11,790,197,True,False,False,False,False,False,1,1,2039.9,9.83
12,1464,132,True,True,False,False,False,True,0,0,0.0,22.59
13,1104,197,True,False,False,False,False,False,1,2,4079.8,6.05
14,1142,233,False,False,True,False,True,True,0,0,0.0,16.17
15,1077,207,True,False,False,False,True,True,1,1,20544.7,8.05
16,1180,196,True,True,True,False,True,True,1,1,25537.2,14.11
17,770,253,False,False,False,True,False,False,0,0,0.0,7.76
18,193,211,True,False,True,True,False,False,1,1,19174.6,9.73
19,1260,245,False,False,False,True,True,True,1,1,33363.0,16.24
20,676,121,False,True,False,True,False,True,1,1,24879.8,10.58
21,751,61,False,False,False,True,False,True,0,0,0.0,7.72
22,557,71,True,False,True,False,True,False,0,0,0.0,20.08
23,274,184,True,True,True,True,False,True,1,1,21312.0,14.93
24,1391,160,False,True,True,False,True,False,1,2,36936.0,7.65
25,1173,24,False,False,False,False,True,False,0,0,0.0,14.16
26,966,62,True,True,True,True,True,True,1,2,31115.0,2.88
27,604,291,False,False,True,True,False,False,0,0,0.0,18.62
28,1235,218,False,False,False,False,True,True,1,2,5319.3,20.34
29,819,227,True,True,False,True,False,True,1,2,78601.6,6.86
30,666,60,True,True,True,True,True,False,1,3,74774.7,9.6
31,676,20,False,False,False,False,True,False,1,1,12977.0,19.02
32,341,88,True,True,False,False,False,True,1,3,60187.2,10.06
33,139,258,False,True,False,True,False,False,0,0,0.0,18.48
34,832,152,True,True,False,False,True,False,1,1,22520.7,1.47
35,1332,236,True,False,True,True,False,False,1,2,62038.4,12.01
36,96,147,False,False,True,True,False,False,1,1,36848.2,16.8
37,1288,148,False,True,False,False,False,False,0,0,0.0,22.77
38,1242,181,True,False,True,True,True,False,0,0,0.0,30.65
39,416,288,False,True,False,False,True,False,1,4,135132.8,1.0
40,948,132,True,True,True,True,True,False,1,1,30580.8,5.99
41,248,179,False,True,True,False,False,False,1,1,13835.75,7.16
42,1138,276,False,True,False,False,False,False,1,3,2981.4,17.22
43,1051,112,False,True,True,False,False,False,0,0,0.0,33.25
44,532,252,False,False,False,False,False,True,0,0,0.0,6.81
45,102,161,True,False,True,False,False,True,1,2,57077.2,3.42
46,1457,264,False,False,False,True,False,True,0,0,0.0,19.16
47,669,141,True,False,False,True,False,False,1,1,26051.3,9.8
48,1340,189,False,False,False,False,False,False,1,1,37414.6,19.54
49,1017,97,False,False,True,False,False,True,1,1,29994.2,18.01
50,1168,191,False,False,True,False,True,True,1,1,23485.5,16.91
51,1140,98,False,True,True,False,True,True,1,1,17861.05,7.59
52,292,183,False,False,True,False,True,False,1,3,137686.35,18.46
53,546,237,False,True,False,True,False,False,1,2,79541.1,5.65
54,701,131,True,False,False,False,True,False,1,1,6162.1,7.01
55,747,129,False,False,False,True,True,False,0,0,0.0,16.53
56,66,97,True,False,False,False,True,False,1,1,29989.2,4.23
57,820,220,True,True,True,True,True,False,1,2,53684.4,8.32
58,232,178,True,False,True,True,False,False,1,3,126420.0,10.99
59,1116,155,False,True,False,True,True,False,1,4,124531.2,2.51
60,1025,8,False,False,False,False,True,False,0,0,0.0,14.18
61,1384,34,True,True,True,False,False,False,1,1,22843.9,9.71
62,1118,3,True,False,False,False,True,False,0,0,0.0,19.34
63,550,256,True,False,False,False,False,False,1,3,129578.85,6.63
64,1452,256,True,False,False,True,False,False,1,2,86385.9,6.76
65,617,21,False,True,True,False,False,False,0,0,0.0,20.08
66,489,14,False,True,False,True,False,False,0,0,0.0,20.21
67,1359,235,False,False,True,False,True,False,0,0,0.0,13.7
68,556,158,True,False,False,True,False,False,1,2,4325.2,6.61
69,115,93,True,False,True,False,False,False,1,2,52547.6,7.32
70,705,185,False,False,False,False,True,True,0,0,0.0,17.05
71,1194,71,False,False,True,False,False,False,1,4,156919.2,16.1
72,285,60,False,False,True,False,True,True,1,2,49849.8,17.47
73,695,111,False,False,False,False,False,False,1,2,33190.6,16.79
74,195,269,False,False,True,True,False,True,1,1,2213.6,19.94
75,1030,231,True,False,False,False,True,False,0,0,0.0,17.12
76,714,58,False,False,True,True,False,False,1,4,117286.0,13.44
77,496,169,False,False,True,False,False,False,1,1,13230.0,22.15
78,341,266,False,False,False,False,True,False,0,0,0.0,13.65
79,847,286,True,False,True,False,True,True,1,4,153649.2,8.53
80,1005,229,False,False,True,False,False,False,1,2,10390.6,27.18
81,1411,39,True,True,True,True,True,False,1,1,30738.4,10.48
82,656,73,False,False,False,True,True,False,0,0,0.0,10.97
83,242,66,False,False,False,False,False,False,0,0,0.0,11.04
84,1250,46,True,False,True,False,False,False,0,0,0.0,23.35
85,945,53,True,True,False,True,False,False,1,3,102666.3,9.84
86,1051,95,False,False,True,False,True,False,1,1,2169.0,18.96
87,146,167,True,False,True,True,True,True,0,0,0.0,30.31
88,469,120,False,False,False,False,False,True,0,0,0.0,23.64
89,1152,127,True,False,True,False,False,True,0,0,0.0,21.07
90,1249,74,True,False,False,False,True,False,1,2,9466.8,6.99
91,653,46,True,True,False,True,False,False,0,0,0.0,26.08
92,1208,300,False,False,True,False,True,False,0,0,0.0,16.49
93,1263,180,True,False,False,False,True,True,1,4,54904.8,5.81
94,582,69,True,False,True,False,True,False,1,2,34874.5,8.54
95,1348,243,True,False,False,False,True,True,1,1,36342.0,2.82
96,433,250,False,False,True,False,True,True,0,0,0.0,8.53
97,360,291,True,True,False,True,False,False,1,4,109859.0,4.3
98,1024,48,True,False,True,False,True,False,1,2,31378.8,1.0
99,956,192,False,True,True,False,True,True,1,1,15621.3,6.51
100,210,295,False,False,False,False,True,False,1,1,23308.0,23.09
101,1250,243,True,True,True,False,True,False,1,1,36342.0,8.24
102,300,68,True,False,True,False,False,True,0,0,0.0,21.23
103,1208,268,False,False,False,False,False,True,0,0,0.0,19.32
104,12,127,False,False,True,False,True,True,1,2,63364.1,22.02
105,1196,147,True,False,False,False,True,False,1,1,36843.2,12.34
106,1181,168,False,True,True,True,False,True,1,4,80173.4,12.22
107,1171,232,False,True,False,False,True,True,1,3,102089.25,15.09
108,998,37,False,False,False,False,True,False,1,4,159926.4,21.28
109,708,162,True,False,True,True,True,False,1,1,29368.8,11.32
110,1058,246,False,False,False,False,False,False,0,0,0.0,19.78
111,416,165,False,False,True,False,False,False,0,0,0.0,11.57
112,1172,83,True,False,False,False,True,True,1,2,1953.6,7.71
113,834,17,True,True,False,False,True,False,1,3,33471.0,10.76
114,689,165,False,False,False,False,False,False,0,0,0.0,22.59
115,759,212,True,False,True,False,False,False,0,0,0.0,17.2
116,854,165,False,False,True,True,False,False,1,2,84149.2,20.72
117,56,294,False,False,True,False,False,False,1,1,15020.0,16.29
118,210,181,True,False,True,False,False,True,1,1,22568.0,7.51
119,369,153,False,True,True,False,True,False,1,1,8000.4,15.19
120,172,17,False,True,False,False,True,False,1,1,11157.0,10.65
121,660,168,True,False,False,False,True,False,1,4,80153.4,1.0
122,1003,51,False,False,False,False,True,False,1,2,45542.0,22.21
123,982,218,True,False,True,False,False,False,1,2,5329.3,10.68
124,707,49,True,False,True,False,True,True,0,0,0.0,19.55
125,1283,273,False,False,False,False,False,False,0,0,0.0,20.11
126,848,91,False,True,False,False,False,False,0,0,0.0,22.36
127,119,131,True,True,False,False,True,False,1,1,6162.1,5.78
128,1148,44,True,False,False,True,True,True,1,1,38706.45,8.62
129,862,64,True,False,True,False,True,False,1,2,5728.0,12.23
130,953,277,True,False,True,False,False,False,1,4,80052.0,12.24
131,849,86,True,False,False,False,False,False,1,4,37726.4,7.07
132,831,154,True,True,False,True,False,True,1,1,29731.2,13.94
133,136,295,True,False,False,False,True,False,1,3,69924.0,17.59
134,839,188,True,False,True,False,False,False,1,2,41706.0,3.44
135,1193,13,True,False,False,False,False,True,0,0,0.0,25.6
136,456,108,True,True,True,False,True,True,1,1,23231.2,6.56
137,905,117,False,False,False,False,True,True,1,4,24847.2,16.33
138,47,83,True,True,False,True,True,True,1,2,1953.6,8.56
139,522,73,True,False,True,True,False,False,1,1,1825.0,7.19
140,656,151,True,False,True,False,False,False,1,1,12338.5,1.0
141,1475,114,False,True,False,False,False,False,0,0,0.0,28.1
142,322,89,False,False,False,True,True,False,0,0,0.0,18.16
143,415,124,True,False,False,True,True,False,1,4,59180.8,4.87
144,613,104,False,False,False,True,True,True,1,4,8565.2,29.1
145,1489,69,False,True,True,True,False,False,0,0,0.0,22.37
146,1281,136,False,False,True,True,True,True,1,3,20341.8,20.2
147,53,283,False,False,True,False,True,False,1,1,25939.45,19.05
148,351,152,False,False,False,True,False,True,0,0,0.0,23.3
149,1233,180,False,False,False,False,True,False,1,1,13726.2,19.95
150,88,296,False,False,True,True,True,True,1,2,37286.0,22.57
151,1284,185,True,True,True,True,True,True,1,2,2012.8,7.07
152,423,67,False,False,False,True,True,True,1,2,40512.0,18.18
153,1377,120,True,True,True,False,True,True,1,2,42168.6,7.34
154,441,147,True,False,True,True,False,False,1,2,73696.4,11.43
155,652,143,False,False,True,True,False,True,1,4,62813.0,23.13
156,993,45,False,False,False,False,False,False,0,0,0.0,9.71
157,190,32,False,False,False,False,True,False,1,1,31737.6,21.09
158,836,105,False,False,True,True,True,True,1,1,7012.8,23.05
159,758,275,True,True,True,False,False,True,1,1,14792.75,5.93
160,1176,216,False,False,False,False,True,False,1,2,59824.5,21.23
161,1495,253,True,False,False,True,False,True,1,1,12329.2,3.08
162,997,53,False,False,True,False,False,True,1,1,34222.1,18.51
163,614,125,True,False,True,False,False,True,1,4,124189.6,11.66
164,610,175,False,True,False,False,True,False,0,0,0.0,25.93
165,627,131,True,False,True,False,True,True,1,3,18486.3,10.08
166,1222,126,False,True,False,True,True,False,1,3,86996.7,9.57
167,482,108,False,True,True,True,True,False,1,1,23231.2,2.73
168,251,16,False,False,False,True,False,False,0,0,0.0,14.22
169,502,258,True,False,True,False,True,False,1,1,6255.9,4.37
170,35,280,False,False,False,False,False,False,0,0,0.0,12.87
171,160,25,False,True,False,True,True,False,0,0,0.0,20.78
172,136,125,True,False,True,True,False,False,1,1,31047.4,11.28
173,1158,156,True,True,False,False,True,True,1,3,15000.75,9.32
174,1084,236,True,False,True,False,False,False,0,0,0.0,6.87
175,1046,297,True,False,True,True,True,False,1,1,9903.2,5.62
176,693,125,True,False,True,False,False,False,1,1,31047.4,8.24
177,1076,225,True,True,True,True,True,True,1,3,41727.6,16.74
178,242,282,False,False,False,False,True,False,1,3,69004.8,24.9
179,1351,250,False,True,False,True,True,True,1,2,78053.4,1.94
180,752,88,True,True,False,False,True,False,1,4,80229.6,1.0
181,1408,246,False,True,True,True,False,True,1,2,9467.1,1.0
182,229,124,False,True,True,False,False,False,1,2,29600.4,9.32
183,746,6,True,False,True,False,False,True,1,2,4594.0,8.9
184,1045,228,False,False,True,True,False,True,1,2,18851.6,18.33
185,744,251,False,False,False,True,True,False,0,0,0.0,18.97
186,670,104,False,True,True,False,True,False,1,2,4282.6,3.53
